번호,제목,내용
19,[랜선 건강교실] 코로나19 백신에 대한 모든 것! / 삼성서울병원 감염내과 정두련 교수,"랜선 건강교실 5번째 주제는 바로, '코로나19 백신'입니다. 코로나19 백신에 대한 모든 것! [삼성서울병원] 감염내과 정두련 교수가 그 자세한 내용을 알려드립니다. 00:46 백신 접종 이후 전망 01:18 백신 접종 제외..."
20,코로나19백신은 왜 근육에? 접종 전후 주의할 것은?,"코로나19백신은 왜 근육에? 접종 전후 주의할 것은? 코로나19와 （3）RNA백신이 유전자를 변화시킬 우려는 없나？ 2021.03.26 아사히신문 코로나19의 백신은, 독감백신 등과 달리, 근육주사로 접종합니다。왜 그럴까요? 접종..."
21,코로나검사 아산병원,서울에서 코로나 검사하신분들 저렴히 하신분들 있나요? 최근에 선별진료소에서 검사해도 이름 검사날짜 검사기관 나온분 계실까요? 병원에서 검사했을때 너무 아팠거든요 또 입원하시는데 코로나검사 비용까지 너무...
22,"AZ 코로나 백신, 유럽 공식 EMA 최신 업데이트","AZ 코로나 백신, 유럽 공식 EMA 최신 업데이트 곧 발표될 듯 합니다. (18일 발표 예정) 이 발표를 하는 곳이... 제가 여기서 전세계 코로나 백신 맞고 나서 사망율, 사망자수 (치사율) 등등 올려드렸으므로 가짜뉴스 같은 것에..."
23,코로나 백신?????,이식 2년 4개월 됩니다 어제 외래 정기 진료가 있어 코로나 뱍신 접종에 관해 담당의에게 물어보았습니다 코로나 백신 맞아도 되냐고.... 담당의 왈 '아제는 검증이 안됐으니 안맞는게 좋다 화이자는 괜찮은데 대상이...
24,"코로나 19 예방 접종의 시작, 백신에 대한 국민의 관심","코로나19 백신에 대한 학생들의 관심은?! 코로나19 예방 접종의 시작, 백신에 대한 국민의 관심 코로나 19 예방 접종의 시작 2021년 2월 26일, 우리나라에서 코로나19의 백신 접종을 시작하였습니다. 요양병원, 요양 시설..."
25,"헬스장, 코로나19 방역지침 이렇게 지키고 있어요!","오늘은 많은 사람들이 찾을 법한 체육시설인 헬스장에 직접 방문하여 코로나19 방역지침을 어떻게 지키고... 모두의 안전한 운동을 위해 “어반필드에서 코로나19관련 안내말씀 전해드립니다. 첫째, 회원님과 직원의..."
26,코로나 문진표 하시나요?,진료전 문진표외에 코로나 문진표하시나요? 저희 병원은 진료전 문진표 & 방문자 명단+체온 측정(보호자 같이)하고 있어요. 다른 쌤은 코로나 문진표도 같이 하시나요?
27,코로나검사했어요,병원가려구 코로나검사했어요 검사하는거 무서웠는데 와~하나도 안아프더라구요 독감검사보다 안아팠어요... 무조건 코로나음성결과 받아가지고 오라더라구요 양성아니길 비네요 워낙집순이라 사람도 수퍼에서나...
28,"코로나19, 우리 아이의 정신건강을 위한 7가지 수칙","끝날 줄 모르는 코로나19 감염병 확산으로 소아와 청소년들의 정신건강이 위협받고 있습니다. 부모님들의... 코로나19 는 언제 끝날지 알 수 없으며, 끝난다 해도 전과 같지는 않을 겁니다. 그러니 변화에 적응할 수 있도록..."
29,코로나검사,목요일 냉동 이식날인데...이식후 1시간 분만실에 누워있게되는데...그때 코로나음성확인이 필요하다고 내일 코로나검사를 하게됬네요;;; 코로나이후 코로나검사만 이미 3번했는데;;(입원시 무조건 코로나검사필수)...
30,코로나검사결과,있는데 코로나 검사하고 오라해서요 올림픽공원 선별진료소에서 검사하신 분들 혹시 오전10시쯤에 하면 당일 결과 나올까요? 아님 결과가 좀 빨리 나오는데 있을까요? 결과 나올때까지 출근을 못해서요 오늘도 코로나...
